id,FACULTAD,AÑO,DEPARTAMENTOS,TOTAL ALUMNOS PREGRADO,ALUMNOS NUEVOS PREGRADO,JCE DR/JCE (i),N° DE CARRERAS DIURNAS,TASA DE TITULACIÓN,TASA DE RETENCIÓN 1ER AÑO,N° DE PROYECTOS ANID,N° PUBLICA WOS Y SCIELO
2024-Departamento de Ingenieria en Obras Civiles,FING,2024,Departamento de Ingenieria en Obras Civiles,425,75,"0,19",1,"0,40","0,67",,
2024-Departamento de Ingenieria Metalurgica,FING,2024,Departamento de Ingenieria Metalurgica,304,89,"0,28",2,"0,03","0,65",,
2024-Facultad de Ciencias Medicas,FACIMED,2024,Facultad de Ciencias Medicas,0,0,"0,24",0,"0,41",-,,
2024-Departamento de Administracion,FAE,2024,Departamento de Administracion,1582,340,"0,29",1,"0,61","0,84",,
2024-Departamento de Gestion y Politicas Publicas,FAE,2024,Departamento de Gestion y Politicas Publicas,468,96,"0,25",1,"0,67","0,82",,
2024-Departamento de Fisica,CIENCIA,2024,Departamento de Fisica,447,88,"0,29",3,"0,27","0,93",,
2024-Escuela de Arquitectura,FARAC,2024,Escuela de Arquitectura,468,74,"0,20",1,"0,74","0,89",,
2024-Departamento de Lingüistica y Literatura,FAHU,2024,Departamento de Lingüistica y Literatura,638,126,"0,32",3,"0,51","0,92",,
2024-Facultad de Quimica y Biologia,FQYB,2024,Facultad de Quimica y Biologia,345,69,"0,00",1,"0,38","0,91",,
2024-Departamento de Filosofia,FAHU,2024,Departamento de Filosofia,67,17,"0,53",1,"0,17","0,75",,
2024-Bachillerato en Ciencias y Humanidades,VICERRECTORIA ACADEMICA,2024,Bachillerato en Ciencias y Humanidades,234,127,"0,60",1,"0,00","0,78",,
2024-Escuela de Kinesiologia,FACIMED,2024,Escuela de Kinesiologia,235,43,"0,23",1,"0,47","0,90",,
2024-Escuela de Terapia Ocupacional,FACIMED,2024,Escuela de Terapia Ocupacional,204,40,"0,01",1,"0,86","0,91",,
2024-Facultad de Derecho,DERECHO,2024,Facultad de Derecho,772,164,"0,04",1,"0,03","0,80",,
2024-Departamento de Biologia,FQYB,2024,Departamento de Biologia,206,45,"0,42",1,-,"0,85",,
2024-Escuela de Medicina,FACIMED,2024,Escuela de Medicina,378,43,"0,09",1,"0,85","0,96",,
2024-Escuela de Obstetricia y Puericultura,FACIMED,2024,Escuela de Obstetricia y Puericultura,306,41,"0,20",1,"0,24","0,92",,
2024-Escuela de Psicologia,FAHU,2024,Escuela de Psicologia,433,61,"0,33",1,"0,65","0,89",,
2024-Departamento de Publicidad e Imagen,FACTEC,2024,Departamento de Publicidad e Imagen,432,58,"0,27",2,"0,62","0,93",,
2024-Facultad de Ingenieria,FING,2024,Facultad de Ingenieria,552,180,"0,00",3,-,"0,45",,
2024-Departamento de Ciencias del Ambiente,FQYB,2024,Departamento de Ciencias del Ambiente,0,0,"0,54",0,-,-,,
2025-Departamento de Administracion,FAE,2025,Departamento de Administracion,1559,357,"0,27",1,"0,62","0,84",,
2025-Departamento de Matematica y Ciencia de la Computacion,CIENCIA,2025,Departamento de Matematica y Ciencia de la Computacion,685,166,"0,24",4,"0,20","0,91",,
2025-Departamento de Gestion Agraria,FACTEC,2025,Departamento de Gestion Agraria,96,18,"0,23",1,"0,20","0,90",,
2025-Departamento de Tecnologias de Gestion,FACTEC,2025,Departamento de Tecnologias de Gestion,266,122,"0,13",5,"0,45","1,00",,
2025-Departamento de Ciencia y Tecnologia de los Alimentos,FACTEC,2025,Departamento de Ciencia y Tecnologia de los Alimentos,179,53,"0,41",2,"0,14","0,77",,
2025-Departamento de Tecnologias Industriales,FACTEC,2025,Departamento de Tecnologias Industriales,228,90,"0,18",4,"0,27","0,68",,
2025-Escuela de Ciencias de la Actividad Fisica el Deporte y la Salud,FACIMED,2025,Escuela de Ciencias de la Actividad Fisica el Deporte y la Salud,386,108,"0,20",3,"0,43","0,92",,
2025-Departamento de Ingenieria Electrica,FING,2025,Departamento de Ingenieria Electrica,731,157,"0,42",2,"0,14","0,76",,
2025-Escuela de Enfermeria,FACIMED,2025,Escuela de Enfermeria,248,41,"0,19",1,"0,67","0,76",,
2025-Departamento de Ingenieria Industrial,FING,2025,Departamento de Ingenieria Industrial,875,181,"0,21",2,"0,19","0,84",,
2025-Departamento de Ingenieria Mecanica,FING,2025,Departamento de Ingenieria Mecanica,571,173,"0,28",3,"0,09","0,81",,
2025-Departamento de Ingenieria en Minas,FING,2025,Departamento de Ingenieria en Minas,555,152,"0,31",2,"0,05","0,69",,
2025-Departamento de Ingenieria Geoespacial y Ambiental,FING,2025,Departamento de Ingenieria Geoespacial y Ambiental,385,110,"0,15",6,"0,11","0,51",,
2025-Departamento de Ingenieria Informatica,FING,2025,Departamento de Ingenieria Informatica,653,159,"0,26",2,"0,09","0,86",,
2025-Departamento de Economia,FAE,2025,Departamento de Economia,0,0,"0,30",0,-,-,,
2025-Departamento de Ingenieria Quimica y Bioprocesos,FING,2025,Departamento de Ingenieria Quimica y Bioprocesos,632,174,"0,35",4,"0,15","0,76",,
2025-Departamento de Estudios Politicos,FAHU,2025,Departamento de Estudios Politicos,208,46,"0,64",1,"0,64","0,75",,
2025-Departamento de Quimica de los Materiales,FQYB,2025,Departamento de Quimica de los Materiales,234,79,"0,72",3,"0,35","0,71",,
2025-Departamento de Educacion,FAHU,2025,Departamento de Educacion,169,47,"0,31",1,"0,66","0,88",,
2025-Departamento de Historia,FAHU,2025,Departamento de Historia,330,100,"0,43",2,"0,55","0,69",,
2025-Departamento de Contabilidad y Auditoria,FAE,2025,Departamento de Contabilidad y Auditoria,1131,250,"0,32",1,"0,54","0,90",,
2025-Departamento de Ingenieria en Obras Civiles,FING,2025,Departamento de Ingenieria en Obras Civiles,419,101,"0,21",1,"0,16","0,67",,
2025-Departamento de Ingenieria Metalurgica,FING,2025,Departamento de Ingenieria Metalurgica,280,89,"0,31",2,"0,04","0,65",,
2025-Departamento de Gestion y Politicas Publicas,FAE,2025,Departamento de Gestion y Politicas Publicas,435,125,"0,35",1,"0,75","0,82",,
2025-Departamento de Fisica,CIENCIA,2025,Departamento de Fisica,449,94,"0,28",3,"0,13","0,93",,
2025-Escuela de Arquitectura,FARAC,2025,Escuela de Arquitectura,478,100,"0,18",1,"0,51","0,89",,
2025-Departamento de Lingüistica y Literatura,FAHU,2025,Departamento de Lingüistica y Literatura,649,141,"0,26",3,"0,49","0,92",,
2025-Facultad de Quimica y Biologia,FQYB,2025,Facultad de Quimica y Biologia,342,71,"0,00",1,"0,28","0,91",,
2025-Departamento de Publicidad e Imagen,FACTEC,2025,Departamento de Publicidad e Imagen,433,97,"0,26",3,"0,68","0,93",,
2025-Departamento de Filosofia,FAHU,2025,Departamento de Filosofia,72,19,"0,81",1,"0,23","0,75",,
